Grand Turk,Turks and Caicos Islands,Miami,USA,7112,0,112,0,0,
Spokane,USA,Vancouver,Canada,6701,2604,25,0,5,
Spokane,USA,Calgary,Canada,23567,4514,0,0,38,
Oslo,Norway,Miami,USA,11140,0,0,0,0,
Georgetown,Guyana,New York,USA,24239,52400,53141,50626,86323,
Georgetown,Guyana,Miami,USA,3210,13454,13052,13621,8530,
Governors Harbour,The Bahamas,New York,USA,4585,2351,0,0,0,
Governors Harbour,The Bahamas,Miami,USA,4756,79,6831,14,930,
Rio de Janeiro,Brazil,New York,USA,122785,74129,66372,27620,64821,
Rio de Janeiro,Brazil,Los Angeles,USA,22868,10491,7369,6261,0,
Rio de Janeiro,Brazil,Orlando,USA,5430,18851,7248,0,284,
Rio de Janeiro,Brazil,Miami,USA,157181,129944,132769,85705,150966,
Rio de Janeiro,Brazil,San Juan,USA,1546,25,1,0,0,
Glasgow,United Kingdom,Orlando,USA,15063,42467,15374,0,7447,
Grenada,Grenada,New York,USA,7357,3124,8958,10976,11880,
Grenada,Grenada,Miami,USA,9196,7604,10974,61,16594,
Genoa,Italy,New York,USA,309,0,0,0,0,
Gothenburg,Sweden,Fort Lauderdale,USA,1772,0,0,0,0,
Gothenburg,Sweden,Miami,USA,2505,0,0,0,0,
Green Bay,USA,Grand Cayman,Cayman Islands,49,17,0,0,0,
Green Bay,USA,Montreal,Canada,72,46,9,45,42,
Sao Paulo,Brazil,New York,USA,44807,177228,153071,140796,252415,
Sao Paulo,Brazil,Los Angeles,USA,2389,66996,69630,21417,21236,
Sao Paulo,Brazil,Orlando,USA,20608,41637,45627,0,70316,
Sao Paulo,Brazil,Miami,USA,60703,282080,334220,338183,361107,
Greensboro/High Point,USA,Freeport,The Bahamas,363,0,0,0,0,
Greensboro/High Point,USA,Montreal,Canada,29,0,50,0,0,
Guatemala City,Guatemala,Houston,USA,34690,43491,83589,80206,111398,
Guatemala City,Guatemala,New York,USA,9113,11191,4216,25744,0,
Guatemala City,Guatemala,Los Angeles,USA,67115,87338,67295,88368,91302,
Guatemala City,Guatemala,Miami,USA,110531,139662,145366,121384,142806,
Guatemala City,Guatemala,New Orleans,USA,3854,73,78,83,0,
Guatemala City,Guatemala,San Francisco,USA,372,3082,869,1861,0,
Guam,USA,Brisbane,Australia,10393,0,537,0,0,
Guam,USA,Denpasar,Indonesia,23212,24267,23998,11841,0,
Guam,USA,Fukuoka,Japan,43118,53726,59179,39759,33315,
Guam,USA,Nauru,Nauru,372,819,1472,0,0,
Guam,USA,Kosrae,Federated States of Micronesia,756,1311,1121,960,1229,
Guam,USA,Kwajalein,Marshall Islands,476,570,790,879,836,
Guam,USA,Majuro,Marshall Islands,1739,2145,2588,4350,3602,
Guam,USA,Manila,Philippines,35389,46201,61290,66820,85804,
Guam,USA,Nagoya,Japan,96816,196320,176245,137097,110141,
Guam,USA,Tokyo,Japan,441847,432645,452136,520052,533261,
Guam,USA,Okinawa,Japan,14159,17962,0,0,0,
Guam,USA,Osaka,Japan,73719,304737,358379,201333,204710,
Guam,USA,Pohnpei,Federated States of Micronesia,10412,12914,6892,8856,9627,
